nohup: ignoring input
Watching for file changes with StatReloader
Not Found: /
[03/Feb/2026 05:22:44] "GET / HTTP/1.1" 404 2789
[03/Feb/2026 05:26:34] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:26:35] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:26:35] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:26:35] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:26:35] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:27:10] "POST /api/users/login/ HTTP/1.1" 200 109
[03/Feb/2026 05:27:10] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:27:10] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:27:10] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:27:10] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:27:11] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:27:11] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:27:11] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:27:11] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:28:55] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:28:55] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:28:56] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:28:57] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:28:57] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:28:57] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:31:45] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:31:45] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:31:45] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:31:45] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:31:45] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:31:45] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:31:45] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:31:45] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:31:59] "POST /api/users/login/ HTTP/1.1" 200 108
[03/Feb/2026 05:31:59] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:31:59] "POST /api/users/login/ HTTP/1.1" 200 108
[03/Feb/2026 05:31:59] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:44] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:44] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:51] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:51] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:33:51] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:52] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:33:52] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:52] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:33:52] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:33:52] "GET /api/tickets/ HTTP/1.1" 200 14
Bad Request: /api/users/login/
[03/Feb/2026 05:34:13] "POST /api/users/login/ HTTP/1.1" 400 45
[03/Feb/2026 05:34:20] "POST /api/users/login/ HTTP/1.1" 200 109
[03/Feb/2026 05:34:20] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:34:20] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:34:20] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:20] "GET /api/tickets/ HTTP/1.1" 200 14
